,NAME,Type,GEOCODE_INPUT,LAT,LNG
45,ESC MUL PROF AMADEU ARAÚJO,Elem,"RUA DOS CAROAS, S/N, NATAL-RN",-26.402909,-49.339377
46,ESC MUL PROF EUDO JOSÉ ALVES,Elem,"VITÓRIA RÉGIA, 115, NATAL-RN",-26.436016,-49.263791
47,ESC MUL PROF HERLY PARENTE,Elem,"RUA CAPELA, , NATAL-RN",-26.3666435,-49.2359288
48,ESC MUL PROF JOSÉ DE ANDRADE FRAZÃO,Elem,"AV BOA SORTE, 1834, NATAL-RN",-26.259657,-49.515734
49,ESC MUL PROF JOSÉ DO PRATOCÍNIO PEREIRA PINTO,Elem,"AVENIDA MANGABEIRA, 1905, NATAL-RN",-26.2542158,-49.5183757
50,ESC MUL PROF JOSÉ MELQUIADES DE MACEDO,Elem,"RUA DAS PEDRINHAS, 237, NATAL-RN",-26.246441,-49.385767
51,ESC MUL PROF LAÉRCIO FERNANDES MONTEIRO,Elem,"R NOEL COSTA, 1232, NATAL-RN",-27.816861,-50.325881
52,ESC MUL PROF REGINALDO FERREIRA NETO,Elem,"RUA NOVA ESPERANÇA, , NATAL-RN",-27.815844,-50.324342
53,ESC MUL PROF WALDSON JOSÉ BASTOS PINHEIRO,Elem,"RUA SÃO FRANCISCO, 361, NATAL-RN",-27.817755,-50.327694
54,ESC MUL PROFA ADELINA FERNANDES,Elem,"RUA ANGRA DOS REIS -CONJUNTO, , NATAL-RN",-27.818526,-50.327355
55,ESC MUL PROFA DALVA DE OLIVEIRA,Elem,"AVENIDA BOA SORTE, 639, NATAL-RN",-27.8152751,-50.32719969999999
56,ESC MUL PROFA FRANCISCA DE OLIVEIRA,Elem,"RUA LINDOLFO GOMES VIDAL, 230, NATAL-RN",-27.8125019,-50.3310879
57,ESC MUL PROFA IAPISSÁRA AGUIAR,Elem,"RUA ILHÉUS, , NATAL-RN",-27.8348362,-50.3296425
58,ESC MUL PROFA JOSEANE COUTINHO DIAS,Elem,"AVENIDA CIDADE PRAIA, 1240, NATAL-RN",-28.291752,-49.936121
59,ESC MUL PROFA LOURDES GODEIRO,Elem,"MOEMA TINOCO DA CUNHA LIMA, 4265, NATAL-RN",-28.393295,-49.548871
60,ESC MUL PROFA MALVINA COSME,Elem,"RUA PARANDUVA, 2903, NATAL-RN",-28.337043,-49.624836
61,ESC MUL PROFA MARIA ALEXANDRINA SAMPAIO,Elem,"RUA DO ANEQUIM, , NATAL-RN",-28.340559,-49.622886
62,ESC MUL PROFA MARIA DALVA GOMES BEZERRA,Elem,"RUA BARUERI, 270, NATAL-RN",-28.347132,-49.600856
63,"ESC MUL PROFA MARIA MADALENA XAVIER DE 
ANDRADE",Elem,"AVENIDA VOTUPORANGA, 35, NATAL-RN",-28.126937,-49.479680
64,ESC MUL PROFA NOILDE PESSOA RAMALHO,Elem,"RUA MANOEL CAETANO, 379, NATAL-RN",-28.046633,-49.617743
65,ESC MUL PROFA PALMIRA DE SOUZA,Elem,"RUA VOLTA REDONDA, , NATAL-RN",-28.054478,-49.368600
66,ESC MUL PROFA TÂNIA ALMEIDA,Elem,"FRAGATAS, 37, NATAL-RN",-27.131817,-52.660762
67,ESC MUL PROFA TEREZINHA PAULINO DE LIMA,Elem,"RUA MATINHOS, SEM 
NUMERO, NATAL-RN",-27.104889,-52.614255
68,ESC MUL PROFA VERA LÚCIA SOARES BARROS,Elem,"AV MAR MEDITERÂNEO, 1236, NATAL-RN",-27.103451,-52.607932
69,ESC MUL PROFA ZULEIDE FERNANDES DE M SILVA,Elem,"AV. BARRAGEM ARMANDO RIBEIRO GONCALVES, , NATAL-RN",-27.281903,-52.695032
70,ESC MUL SANTA CATARINA,Elem,"RUA PROF MARIA ARLETE DE L NASCIMENTO, , NATAL-RN",-27.103207,-52.605437
71,ESC MUL VEREADOR JOSÉ SOTERO,Elem,"AVENIDA ARACAJU, 142, NATAL-RN",-26.884884,-52.437043
72,CMEI CLAUDETE COSTA MACIEL,KGAR,"RUA SERRA DOS CARAJAS, 3160, NATAL-RN",-26.551091,-52.322078
73,CMEI HAYDEE MONTEIRO BEZERRA DE MELO,KGAR,"RUA JOSE SELEDON, 70, NATAL-RN",-26.254981,-53.642020
